analysis_version,probable_duplicate_group_id,tour,year,tourney_date,tourney_name_key,round,player_1_id,player_2_id,group_size,conflicting_recorded_winner,representative_rank,selected_representative,keep_one_selection_decision,base_rating_update_eligible,base_exclusion_reason,effective_rating_history_decision,source_file,source_row_number,match_id,winner_id,loser_id,canonical_table_mutated
rating-history-sensitivities-v1,7ab9335c4c3a840059466c9e996025ba3ad922079966040d5c341243257eeabb,ATP,1968,1968-12-08,kings cup final,RR,100084,100098,2,True,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1968.csv,4363,8438087c5dcc7b74e7f7de8ba1f7b9b50394d7ef28519a26b42c9c3b109d16d7,100084,100098,False
rating-history-sensitivities-v1,7ab9335c4c3a840059466c9e996025ba3ad922079966040d5c341243257eeabb,ATP,1968,1968-12-08,kings cup final,RR,100084,100098,2,True,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1968.csv,4365,6e4050b740096c75203e00e3cabe1c2f5a741263267242b8937ed16c76630573,100098,100084,False
rating-history-sensitivities-v1,6b714e5d90d8665987a9bc4538453589a41c2d06f743188a0837c8444fd5cbb7,ATP,1968,1968-12-08,kings cup sf,RR,100084,100113,2,False,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1968.csv,4360,b4579cb1585c1d14add106f5e4eac25af1d5211dcec24481b8cad8f2a563960c,100084,100113,False
rating-history-sensitivities-v1,6b714e5d90d8665987a9bc4538453589a41c2d06f743188a0837c8444fd5cbb7,ATP,1968,1968-12-08,kings cup sf,RR,100084,100113,2,False,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1968.csv,4362,2e37c83df0aa0e635a9fcd580a025d6dbd630a6b61a79d0c7a8b6d3625d45900,100084,100113,False
rating-history-sensitivities-v1,35322e6797a60cd3a3bf09f004ef64affd7db91ad0140fd22f1e101338afe5ba,ATP,1969,1969-05-12,barcelona,R64,199999,199999,2,False,1,True,selected_representative,False,identical_player_ids,excluded_by_base_rules,atp/atp_matches_1969.csv,987,847c15faeee6f78915a1f4ce19678257eb0d6e22e5298b73a69739553c03c046,199999,199999,False
rating-history-sensitivities-v1,35322e6797a60cd3a3bf09f004ef64affd7db91ad0140fd22f1e101338afe5ba,ATP,1969,1969-05-12,barcelona,R64,199999,199999,2,False,2,False,excluded_group_member,False,identical_player_ids,excluded_by_base_rules_and_keep_one,atp/atp_matches_1969.csv,989,53b89532a9477cc2c55b88391b08d2386f844b73e1a473296bcb24bf90d28255,199999,199999,False
rating-history-sensitivities-v1,97b3b9a4d3b76b341df4b3527012225ecc38da00d0e74b4c7a3a2cd1e7479e2e,ATP,1969,1969-08-20,newport,RR,100058,100084,2,False,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1969.csv,2990,575a186b23bd75cdacd0442cf84ee10aae950db9300cd2a21aa9503947b9369d,100084,100058,False
rating-history-sensitivities-v1,97b3b9a4d3b76b341df4b3527012225ecc38da00d0e74b4c7a3a2cd1e7479e2e,ATP,1969,1969-08-20,newport,RR,100058,100084,2,False,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1969.csv,2999,cee93768414aa6423309568c72eb121e5caea0da8a47653342c33d011515879d,100084,100058,False
rating-history-sensitivities-v1,71c196d0dc1467742a55f429cb7b737f3312bace5dd4be487a930867d18329e0,ATP,1969,1969-08-20,newport,RR,100069,100121,2,False,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1969.csv,2991,3c631cdcc9a4b9ffddc644c18c91ae8f93406c06298f3c0ec57bc5f6acc319b9,100069,100121,False
rating-history-sensitivities-v1,71c196d0dc1467742a55f429cb7b737f3312bace5dd4be487a930867d18329e0,ATP,1969,1969-08-20,newport,RR,100069,100121,2,False,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1969.csv,2996,3b9820e77e981189246315b4ae72b76f8573663c51b9fd96bc3f77bd3a52f767,100069,100121,False
rating-history-sensitivities-v1,afa5ebd55fb3216db5b29902e0b7f6e1a3d11cf205af63754ee0ca3477875334,ATP,1970,1970-03-09,cambridge,RR,100087,100126,2,False,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1970.csv,2242,db246a1f11afc8341396466a77fc0c82bbcbd7366089d7a2c1b78211caa4eb58,100087,100126,False
rating-history-sensitivities-v1,afa5ebd55fb3216db5b29902e0b7f6e1a3d11cf205af63754ee0ca3477875334,ATP,1970,1970-03-09,cambridge,RR,100087,100126,2,False,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1970.csv,2243,bddb5af8c693faedd657287dd908bc7022c64fd75d72d5e5d6d8ccccb2d584fd,100087,100126,False
rating-history-sensitivities-v1,aa5bc53e3fd67559fb6778a9674ad66b6145c1fd915c217fee54291f36f5733e,ATP,1970,1970-07-27,indianapolis,F,100126,100128,2,False,1,True,selected_representative,True,,updates_state_under_keep_one,atp/atp_matches_1970.csv,1131,79e14e67f544790dcea846879aa723e4f64002ae9dd61bd9c2af219b8e540fc4,100128,100126,False
rating-history-sensitivities-v1,aa5bc53e3fd67559fb6778a9674ad66b6145c1fd915c217fee54291f36f5733e,ATP,1970,1970-07-27,indianapolis,F,100126,100128,2,False,2,False,excluded_group_member,True,,excluded_by_keep_one,atp/atp_matches_1970.csv,2686,7a18805489aef32086d10f6d3ba25468d0267add9627d4f7be1a7d2b1672d105,100128,100126,False
